Feature,Importance
infant_mortality,0.7833854635029222
population_growth,0.06963055132413205
fertility,0.04564187945703898
electricity_access,0.04320143956358199
unemployment,0.021179673343713682
health_expenditure,0.019008696823580636
Year,0.005018183551561731
gdp_per_capita,0.003682598626401331
internet_usage,0.003562130689755739
log_gdp_per_capita,0.003079758869076571
gdp_growth,0.0026096242482351612
